CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201607,1010,1,1010    ,1,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,4300.00,0.00,0                             ,0                             ,CAJA                          ,ESTANCIA HEREFORD             ,                              
300,201607,1010,1,1010    ,2,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,1054216.45,0.00,0                             ,0                             ,CAJA                          ,MONEDA EXTRANJERA             ,                              
300,201607,1010,1,1010    ,3,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,4.59,0.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201607,1010,1,1010    ,3,        ,0,2016-07-25,0,138,BPC                      ,          ,0,0,0.00,100.00,0                             ,0                             ,CAJA                          ,FONDO FIJO BUENOS AIRES       ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-01,0,143,CHEQUE 1468 ANULADO      ,          ,0,0,1665.48,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-01,0,153,BG IBC                   ,          ,0,0,0.00,28.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,446354.76,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-01,0,12,JUAN ALQ JULIO2016       ,1563      ,0,2160,0.00,4200.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-01,0,22,CTA FC 1247              ,1572      ,0,2169,0.00,345.30,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-01,0,23,SERVICOOP SA FC 15174    ,1571      ,0,2168,0.00,1140.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-02,0,17,MEDIA LUNA  JUNIO2016    ,1570      ,0,2167,0.00,1267.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-04,0,11,CABLEVISION ELAINE       ,1578      ,0,2174,0.00,2050.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
